Filename,Time (s),Memory (KB)
matrix_exponential.cpp,45.60,1063208
minres.cpp,56.54,1086848
matrix_power.cpp,174.62,2289196
matrix_exponential.cpp,41.34,890852
sparse_extra.cpp,11.59,332920
polynomialutils.cpp,3.92,209120
matrix_exponential.cpp,39.49,913408
matrix_power.cpp,102.84,1831980
autodiff_scalar.cpp,2.20,155968
autodiff.cpp,4.30,228812
matrix_power.cpp,42.45,972680
matrix_function.cpp,90.46,1598380
matrix_exponential.cpp,42.48,1051836
NonLinearOptimization.cpp,39.93,860156
cxx11_tensor_intdiv.cpp,2.12,138548
sparse_extra.cpp,98.15,1377544
cxx11_tensor_intdiv.cpp,2.26,137928
polynomialsolver.cpp,25.53,701472
cxx11_tensor_const.cpp,5.23,198884
dgmres.cpp,81.55,1344544
matrix_power.cpp,165.62,2119856
levenberg_marquardt.cpp,26.15,651928
matrix_square_root.cpp,20.53,537432
autodiff.cpp,10.84,419240
FFT.cpp,8.31,283688
BVH.cpp,5.49,232260
EulerAngles.cpp,19.83,427140
matrix_square_root.cpp,118.96,1886040
alignedvector3.cpp,7.57,339764
polynomialsolver.cpp,30.38,785048
gmres.cpp,48.95,972208
gmres.cpp,46.36,984128
EulerAngles.cpp,17.65,413952
polynomialsolver.cpp,36.98,822940
autodiff.cpp,3.24,209880
EulerAngles.cpp,16.74,404000
matrix_exponential.cpp,103.41,1659492
NumericalDiff.cpp,3.01,145980
mpreal_support.cpp,51.81,959500
polynomialsolver.cpp,28.62,706780
polynomialsolver.cpp,32.43,837244
sparse_extra.cpp,70.95,1268796
polynomialsolver.cpp,4.47,226168
